13.944	41.832	83.664	125.496	182.1470492188
13.993	41.979	83.958	125.937	178.2997828125
13.755	41.265	82.530	123.795	176.5810827148
14.686	44.058	88.116	132.174	179.9067001953
15.659	46.977	93.954	140.931	194.5105679688
16.079	48.237	96.474	144.711	216.3414009766
16.471	49.413	98.826	148.239	227.9401986328
16.947	50.841	101.682	152.523	230.3943009766
17.052	51.156	102.312	153.468	230.7476849609
17.430	52.290	104.580	156.870	232.5744683594
16.877	50.631	101.262	151.893	232.0337017578
17.178	51.534	103.068	154.602	230.2566179688
17.822	53.466	106.932	160.398	226.8122830078
18.277	54.831	109.662	164.493	225.34075
19.726	59.178	118.356	177.534	232.96945
21.385	64.155	128.310	192.465	244.5999996094
23.289	69.867	139.734	209.601	249.1207820313
23.842	71.526	143.052	214.578	246.9818845703
24.472	73.416	146.832	220.248	234.8770152344
25.116	75.348	150.696	226.044	221.0689490234
25.165	75.495	150.990	226.485	209.0401335938
24.731	74.193	148.386	222.579	200.5962992188
24.220	72.660	145.320	217.980	192.2431162109
23.555	70.665	141.330	211.995	185.3646007813
22.113	66.339	132.678	199.017	182.6006662109
21.924	65.772	131.544	197.316	179.2002494141
22.197	66.591	133.182	199.773	177.2124666992
22.225	66.675	133.350	200.025	183.7119169922
22.729	68.187	136.374	204.561	204.7631496094
23.968	71.904	143.808	215.712	229.8592675781
25.536	76.608	153.216	229.824	242.0410664063
25.816	77.448	154.896	232.344	243.9345158203
26.131	78.393	156.786	235.179	244.3158837891
25.900	77.700	155.400	233.100	245.2420669922
26.677	80.031	160.062	240.093	245.4197017578
26.726	80.178	160.356	240.534	244.1740316406
26.257	78.771	157.542	236.313	240.8278150391
25.907	77.721	155.442	233.163	236.7384349609
26.292	78.876	157.752	236.628	241.8374849609
27.209	81.627	163.254	244.881	250.4338169922
28.441	85.323	170.646	255.969	253.2634824219
29.925	89.775	179.550	269.325	249.9903152344
31.220	93.660	187.320	280.980	237.2318322266
31.780	95.340	190.680	286.020	223.4417677734
32.529	97.587	195.174	292.761	212.2201517578
33.390	100.170	200.340	300.510	203.7085162109
33.831	101.493	202.986	304.479	196.1697998047
33.929	101.787	203.574	305.361	189.3775996094
34.279	102.837	205.674	308.511	185.8480839844
33.964	101.892	203.784	305.676	181.6567992188
33.040	99.120	198.240	297.360	180.1591
33.362	100.086	200.172	300.258	186.0226662109
34.314	102.942	205.884	308.826	206.1562845703
35.399	106.197	212.394	318.591	231.2373332031
36.715	110.145	220.290	330.435	241.8657998047
34.447	103.341	206.682	310.023	243.2789183594
34.013	102.039	204.078	306.117	243.0902318359
32.886	98.658	197.316	295.974	243.4434152344
34.244	102.732	205.464	308.196	241.3830841797
33.593	100.779	201.558	302.337	237.8717017578
34.594	103.782	207.564	311.346	235.6684679688
35.070	105.210	210.420	315.630	233.9824517578
