3.630	1.690	6.038	3.051	4.413	1.236	3.343
3.352	1.792	6.004	3.111	4.297	1.236	3.299
3.108	1.913	5.937	3.200	4.282	1.328	3.295
2.981	2.009	5.996	3.204	4.297	1.439	3.321
2.808	2.062	5.863	3.230	4.313	1.702	3.330
2.628	1.989	5.791	3.256	4.606	1.738	3.335
2.502	1.746	5.960	3.418	4.691	1.844	3.360
2.272	1.878	6.053	3.641	4.791	1.750	3.397
2.065	2.241	5.996	3.598	4.884	2.087	3.479
1.749	2.535	6.311	3.536	4.760	2.037	3.488
1.527	2.608	6.511	3.718	4.922	1.931	3.536
1.577	2.491	6.648	4.015	4.868	1.873	3.579
1.654	2.336	6.908	4.267	5.053	1.502	3.620
1.663	2.265	7.136	4.408	4.922	0.848	3.540
1.676	2.234	7.081	4.202	4.807	0.525	3.421
1.542	2.152	6.850	4.180	4.861	0.318	3.317
1.452	2.345	6.507	4.790	5.038	0.215	3.391
1.536	2.873	6.369	5.443	4.753	0.275	3.541
1.573	3.455	6.074	5.946	4.606	0.402	3.676
1.658	3.936	5.857	6.352	4.421	0.537	3.794
1.774	4.403	5.896	6.769	4.328	0.660	3.972
1.919	4.781	5.969	7.183	3.958	0.578	4.065
1.996	5.038	6.199	7.494	3.642	0.545	4.152
2.007	5.430	5.796	7.790	3.510	0.453	4.164
1.912	5.578	5.493	7.933	3.372	0.364	4.109
1.757	5.681	5.457	8.278	3.071	0.349	4.099
1.715	5.699	5.462	8.570	2.901	0.453	4.133
1.605	5.917	5.728	8.861	2.901	0.588	4.267
1.666	6.212	6.070	9.095	3.163	0.697	4.484
1.775	6.432	6.005	9.244	3.433	0.730	4.603
1.797	6.441	5.448	9.310	3.302	0.829	4.521
1.872	6.412	4.921	9.260	3.140	1.003	4.435
1.765	6.221	5.349	9.424	2.747	1.135	4.440
1.615	5.687	5.809	9.186	2.376	1.215	4.315
1.293	5.261	6.035	9.065	2.245	1.179	4.180
1.021	4.792	6.519	9.113	1.991	0.885	4.053
0.804	4.579	6.840	9.079	1.967	0.429	3.950
0.767	4.188	7.128	9.119	2.029	0.183	3.902
0.765	3.582	7.072	8.960	1.921	0.060	3.727
0.846	3.190	6.924	8.850	2.129	0.053	3.665
0.938	2.806	6.461	8.743	2.369	0.104	3.570
1.057	2.456	6.446	8.594	2.515	0.255	3.554
1.061	2.352	6.788	8.846	2.052	0.566	3.611
1.032	2.115	6.943	8.751	1.674	0.660	3.529
0.985	2.001	6.941	8.562	1.258	0.668	3.402
1.033	1.734	6.557	8.590	1.150	0.566	3.272
1.115	1.507	6.020	8.655	1.119	0.663	3.180
1.088	1.369	5.948	8.674	1.134	0.660	3.146
1.055	1.505	5.580	8.488	1.150	0.687	3.077
1.128	1.771	5.525	8.212	1.312	0.639	3.098
1.264	1.906	5.077	7.800	1.474	0.641	3.027
1.356	2.114	5.317	7.372	1.474	0.629	3.044
1.486	2.515	5.244	7.154	1.504	0.571	3.079
1.589	2.926	4.861	7.237	1.535	0.504	3.109
1.731	3.218	3.231	7.533	1.466	0.439	2.936
1.847	3.727	2.468	7.759	1.481	0.402	2.947
1.876	4.432	1.984	8.119	1.389	0.453	3.042
1.974	5.266	1.578	8.274	1.327	0.453	3.145
1.940	5.898	1.240	8.157	1.504	0.395	3.189
1.802	6.506	1.234	8.208	1.466	0.313	3.255
1.680	7.363	1.358	8.079	1.450	0.190	3.353
1.783	8.162	1.393	7.496	1.582	0.092	3.418
1.937	8.779	1.462	6.870	1.690	0.087	3.471
2.045	9.442	2.089	6.178	1.774	0.101	3.605
2.205	9.616	2.746	5.673	1.072	0.099	3.568
2.499	9.618	2.729	5.412	0.818	0.118	3.532
2.755	9.165	2.361	5.068	0.887	0.157	3.399
2.824	8.726	2.095	4.556	0.795	0.234	3.205
2.887	7.677	1.943	4.858	0.679	0.219	3.044
2.962	6.354	1.647	5.370	0.980	0.202	2.919
2.914	5.371	1.547	5.602	1.335	0.212	2.830
2.911	4.293	1.386	6.120	2.060	0.246	2.836
2.951	3.637	1.409	6.299	2.947	0.272	2.919
2.857	3.306	1.285	6.600	3.842	0.280	3.028
2.887	3.070	1.301	6.660	4.753	0.292	3.160
2.902	2.773	1.307	6.714	5.053	0.308	3.176
2.976	2.308	1.480	6.759	5.246	0.255	3.171
2.938	1.919	1.561	6.614	5.331	0.241	3.101
